	"MYC2"	"AtAIB"	"TAT3"	"JAZ1"	"JAZ10"	"DIN11"	"At1g66690"	"At1g53885"	"PDF1.2b"
"jai3-1_mock_0.5h"	1.74	0.46	0.24	1.86	1.02	0.25	1.01	2.42	1.16
"jai3-1_mock_0.5h"	1.64	0.39	0.21	1.7	0.9	0.25	0.94	2.98	0.97
"jai3-1_mock_0.5h"	1.6	0.49	0.26	1.67	0.95	0.24	0.63	3.09	0.89
"jai3-1_mock_1h"	0.83	0.23	0.41	0.58	0.63	0.58	0.41	4.14	1.42
"jai3-1m_1h"	0.88	0.24	0.35	0.57	0.7	0.6	0.37	3.75	1.52
"jai3-1_mock_1h"	0.91	0.23	0.49	0.58	0.67	0.56	0.56	3.78	1.37
"jai3-1_mock_3h"	0.47	0.22	1.4	0.28	0.22	0.83	1.23	3.17	1.62
"jai3-1_mock_3h"	0.5	0.25	1.61	0.31	0.23	0.89	0.95	3.41	1.48
"jai3-1_mock_3h"	0.48	0.29	1.48	0.29	0.19	0.71	1.02	3.74	1.64
"jai3-1_mock_6h"	0.53	0.23	0.33	0.44	0.35	1.53	2.99	4.42	4.02
"jai3-1_mock_6h"	0.49	0.19	0.28	0.38	0.26	1.5	1.74	3.12	3.75
"jai3-1_mock_6h"	0.5	0.21	0.31	0.34	0.21	1.29	2.18	4.46	2.96
"jai3-1_MJ_0.0h"	0.1	0.25	0.04	0.08	0.05	0.4	0.18	0.38	0.52
"jai3-1_MJ_0.0h"	0.09	0.22	0.03	0.07	0.03	0.38	0.14	0.25	0.35
"jai3-1_MJ_0.0h"	0.07	0.18	0.02	0.06	0.03	0.35	0.14	0.16	0.32
"jai3-1_MJ_0.5h"	2.1	0.43	0.58	2.18	2.28	0.52	0.85	7.37	1.67
"jai3-1_MJ_0.5h"	2.01	0.43	0.52	1.92	2.23	0.38	0.59	7.57	1.69
"jai3-1_MJ_0.5h"	2.39	0.5	0.58	1.91	2.25	0.56	0.63	6.6	1.92
"jai3-1_MJ_1h"	1.56	0.41	1.05	1.94	2.16	0.57	0.62	4.28	1.82
"jai3-1_MJ_1h"	2.04	0.44	1.12	2.03	2.18	0.5	0.81	4.5	1.34
"jai3-1_MJ_1h"	1.59	0.4	1.07	2.23	1.97	0.45	0.51	4.22	1.51
"jai3-1_MJ_3h"	0.98	0.31	1.65	0.9	0.53	1.33	0.42	3.4	1.14
"jai3-1_MJ_3h"	1.2	0.36	2.22	1.09	0.65	1.48	0.36	4.62	1.8
"jai3-1_MJ_3h"	1.38	0.37	2.24	1.18	0.66	1.81	0.49	4.93	1.6
"jai3-1_MJ_6h"	1.83	0.65	0.67	1.12	0.84	4.09	0.84	1.38	1.53
"jai3-1_MJ_6h"	1.2	0.43	0.55	1.01	0.43	2.88	0.13	1.5	1.22
"jai3-1_MJ_6h"	2	0.62	0.72	1.41	1.22	4.59	1.51	1.65	1.95
"jutOE_mock_0.0h"	0.19	1.91	0.04	0.13	0.08	0.48	0.75	2.86	0.82
"jutOE_mock_0.0h"	0.19	2.04	0.04	0.14	0.06	0.51	0.61	3.02	0.77
"jutOE_mock_0.0h"	0.2	1.9	0.04	0.15	0.06	0.58	0.46	2.8	0.45
"jutOE_mock_0.5h"	1.38	2.65	0.42	1.12	0.76	1.35	0.57	3.47	0.61
"jutOE_mock_0.5h"	1.59	2.63	0.41	1.18	0.74	1.32	0.4	3.49	0.62
"jutOE_mock_0.5h"	1.31	2.17	0.36	1.08	0.82	1.18	0.29	4.06	0.66
"jutOE_mock_1h"	1.06	2.45	2.29	0.84	0.79	0.69	0.3	2.72	0.69
"jutOE_mock_1h"	0.99	2.19	2.14	0.78	0.66	0.7	0.16	2.04	0.72
"jutOE_mock_1h"	1.06	2.34	2.12	0.78	0.65	0.7	0.26	1.15	0.82
"jutOE_mock_3h"	0.35	2.11	0.71	0.31	0.13	1.06	0.77	3.91	3.03
"jutOE_mock_3h"	0.29	2	0.48	0.26	0.06	0.76	0.35	2.4	3.65
"jutOE_mock_3h"	0.37	2.45	0.65	0.34	0.15	0.99	0.64	3.37	3.49
"jutOE_mock_6h"	0.6	3.44	0.22	0.42	0.19	1.82	0.73	3.09	1.7
"jutOE_mock_6h"	0.57	2.3	0.17	0.38	0.16	1.94	1.91	3.72	1.78
"jutOE_mock_6h"	0.53	3.23	0.22	0.37	0.16	1.71	1.27	3.92	1.42
"jutOE_MJ_0.0h"	0.19	1.91	0.04	0.13	0.08	0.48	0.75	2.86	0.82
"jutOE_MJ_0.0h"	0.19	2.04	0.04	0.14	0.06	0.51	0.61	3.02	0.77
"jutOE_MJ_0.0h"	0.2	1.9	0.04	0.15	0.06	0.58	0.46	2.8	0.45
"jutOE_MJ_0.5h"	2.82	2.98	2.43	2.75	3.19	0.9	0.55	6.15	0.64
"jutOE_MJ_0.5h"	2.75	3.05	2.33	2.87	2.9	0.73	0.36	4.6	0.59
"jutOE_MJ_0.5h"	2.71	3.08	2.71	2.79	3.15	0.78	0.54	4.1	0.87
"jutOE_MJ_1h"	2.14	2.76	3.48	1.89	2.28	1.16	0.58	2.18	0.96
"jutOE_MJ_1h"	2.08	2.88	3.44	1.81	2.15	1.02	0.22	2.61	0.65
"jutOE_MJ_1h"	2.04	2.73	3.65	1.72	1.97	0.94	0.42	1.9	0.68
"jutOE_MJ_3h"	1.38	2.61	2.99	1.55	1.79	2.63	5.67	12.56	6.52
"jutOE_MJ_3h"	1.67	2.92	3.71	2.07	2.86	4.47	5.85	16.31	5.45
"jutOE_MJ_3h"	0.94	2.96	3.44	1.94	2.8	3.63	7.94	11.61	6.56
"jutOE_MJ_6h"	3.85	2.88	1.55	2.83	2.88	14.37	0.75	3.92	5.17
"jutOE_MJ_6h"	2.67	3.52	1.31	2.84	2.8	14.23	0.54	3.62	4.15
"jutOE_MJ_6h"	2.77	3.21	1.23	2.52	2.4	13.18	0.55	3.31	3.43
